"k","p","true_R2","true_tau2_null","vi_mean","vi_sd","R2_apparent","tau2_null_est","tau2_full_est","I2","R2_cv_w","tau2_cv_w","cv_failures_w","tau2_truncated_w","R2_cv_uw","tau2_cv_uw","cv_failures_uw","tau2_truncated_uw","Delta_CV","optimism_w","optimism_uw","weight_cv","rep","condition","bias_w","bias_uw","abs_bias_w","abs_bias_uw"
15,1,0,0.01,0.02,0.02,0.940921668101791,0.0529450127336654,0.00312790303463437,91.6349495889019,1,0,0,TRUE,1,0,0,TRUE,0,-0.0590783318982087,-0.0590783318982087,0.193022752183388,1,1,1,1,1,1
15,1,0,0.01,0.02,0.02,1,0.00045602013531651,0,4.20893631693102,0,0.00115856993269022,1,FALSE,1,0,1,TRUE,-1,1,0,1.63771017748836,2,1,0,1,0,1
15,1,0,0.01,0.02,0.02,0.644292971006863,0.0328767621513714,0.0116944953877784,90.5430400075557,0.160959612250076,0.0275849312634487,0,FALSE,0,0.0331259196622804,0,FALSE,0.160959612250076,0.483333358756787,0.644292971006863,0.323676774360522,3,1,0.160959612250076,0,0.160959612250076,0
15,1,0,0.01,0.02,0.02,0.881915561222011,0.0594708512261618,0.00702258209069061,94.0164779585201,0.716669333600442,0.0168499159092574,0,FALSE,0.718169161336227,0.0167607198771177,0,FALSE,-0.0014998277357845,0.165246227621568,0.163746399885784,0.220306637859947,4,1,0.716669333600442,0.718169161336227,0.716669333600442,0.718169161336227
15,1,0,0.01,0.02,0.02,0.595523168195791,0.0838919482620384,0.0339323494469119,92.5640216522498,0.477758450025501,0.0438118610907474,0,FALSE,0.448099798005593,0.0462999831915234,0,FALSE,0.029658652019908,0.117764718170291,0.147423370190199,0.176505189604909,5,1,0.477758450025501,0.448099798005593,0.477758450025501,0.448099798005593
15,1,0,0.01,0.02,0.02,1,0.0762904968034139,0,96.492058223871,1,0,0,TRUE,1,0,0,TRUE,0,0,0,0.123179395674677,6,1,1,1,1,1
15,1,0,0.01,0.02,0.02,0.940210300171302,0.182366099645856,0.0109036143567562,95.4830822010493,0.867839005678265,0.024101685059773,0,FALSE,0.861363989979261,0.025282508417946,0,FALSE,0.00647501569900366,0.0723712944930367,0.0788463101920404,0.0781466819610991,7,1,0.867839005678265,0.861363989979261,0.867839005678265,0.861363989979261
15,1,0,0.01,0.02,0.02,0.958003406896259,0.140188166052839,0.00588742536768077,96.6527572361847,0.987656192576163,0.00173045572485708,0,FALSE,0.993425315225673,0.000921693000888377,0,FALSE,-0.00576912264951002,-0.0296527856799044,-0.0354219083294144,0.0995437708749662,8,1,0.987656192576163,0.993425315225673,0.987656192576163,0.993425315225673
15,1,0,0.01,0.02,0.02,0.963105915214974,0.0772115133000165,0.00284864811807098,95.44603163542,1,0,0,TRUE,1,0,0,TRUE,0,-0.0368940847850261,-0.0368940847850261,0.196466934443016,9,1,1,1,1,1
15,1,0,0.01,0.02,0.02,0.245879991616368,0.00692569240909041,0.00522280321760572,64.9804344819438,0.136031183769623,0.00598358227225755,0,FALSE,0.624698781091158,0.00259922080291934,0,FALSE,-0.488667597321535,0.109848807846745,-0.37881878947479,0.747568697076713,10,1,0.136031183769623,0.624698781091158,0.136031183769623,0.624698781091158
15,1,0,0.01,0.02,0.02,0,0.00612496308537302,0.00797118302084494,54.117251815,0,0.012224908130939,0,FALSE,0.153308865934297,0.00518595194086505,0,FALSE,-0.153308865934297,0,-0.153308865934297,0.823068630323475,11,1,0,0.153308865934297,0,0.153308865934297
15,1,0,0.01,0.02,0.02,NA,0.00509882297718418,NA,49.559125437531,NA,NA,0,FALSE,NA,NA,0,FALSE,NA,NA,NA,0.89542698366354,12,1,NA,NA,NA,NA
15,1,0,0.01,0.02,0.02,0.735680431861371,0.0393072680368068,0.0103896801121981,85.5118009464531,0.813547546710392,0.00732893655757482,0,FALSE,0.900996551778895,0.00389155507579508,0,FALSE,-0.0874490050685032,-0.0778671148490214,-0.165316119917525,0.289146786103703,13,1,0.813547546710392,0.900996551778895,0.813547546710392,0.900996551778895
15,1,0,0.01,0.02,0.02,0.983607488651674,0.323619056187326,0.00530492905108518,98.1404685948473,0.960795248068007,0.0126874048182897,0,FALSE,0.961140198685262,0.0125757722251027,0,FALSE,-0.000344950617254258,0.022812240583667,0.0224672899664128,0.0484664348249258,14,1,0.960795248068007,0.961140198685262,0.960795248068007,0.961140198685262
15,1,0,0.01,0.02,0.02,0.242104553703575,0.0178011427095142,0.0134914049984136,85.9842350346145,0.161644968067626,0.0149236775646675,0,FALSE,0.459076889813197,0.00962904947930954,0,FALSE,-0.297431921745572,0.0804595856359492,-0.216972336109622,0.558000580604771,15,1,0.161644968067626,0.459076889813197,0.161644968067626,0.459076889813197
15,1,0,0.01,0.02,0.02,0.280978394331177,0.0265916159647385,0.019119946408295,83.7031380861281,0.119743036321288,0.0234074551284311,0,FALSE,0.111788638529451,0.0236189754197424,0,FALSE,0.00795439779183693,0.161235358009889,0.169189755801726,0.369424302016913,16,1,0.119743036321288,0.111788638529451,0.119743036321288,0.111788638529451
15,1,0,0.01,0.02,0.02,0,0.00705970947800112,0.00775080671534916,52.7921508201782,0.245142994216732,0.00532907115826368,0,FALSE,1,0,0,TRUE,-0.754857005783268,-0.245142994216732,-1,0.699670941019249,17,1,0.245142994216732,1,0.245142994216732,1
15,1,0,0.01,0.02,0.02,0.446765723210803,0.0256984934231413,0.0142172874235235,77.533377809647,0,0.0260257521386638,0,FALSE,0,0.0285421384222175,0,FALSE,0,0.446765723210803,0.446765723210803,0.327297236940664,18,1,0,0,0,0
15,1,0,0.01,0.02,0.02,0.84682741944166,0.0645787710468958,0.00989169701053926,94.9509967468698,0.921700534993917,0.00505648322372226,0,FALSE,0.980696724458253,0.00124658181166562,0,FALSE,-0.0589961894643359,-0.0748731155522574,-0.133869305016593,0.223818133065053,19,1,0.921700534993917,0.980696724458253,0.921700534993917,0.980696724458253
15,1,0,0.01,0.02,0.02,0.0412103934017886,0.00608864285204404,0.00583772748482832,62.8852769574418,0,0.00874655180951835,0,FALSE,0,0.00711223209894684,0,FALSE,0,0.0412103934017886,0.0412103934017886,0.649003058957668,20,1,0,0,0,0
15,1,0,0.01,0.02,0.02,0.953948227003379,0.348892609489505,0.0160671232524093,97.5409815312193,0.90238887217056,0.034055801103627,0,FALSE,0.898781192477131,0.0353144938860697,0,FALSE,0.00360767969342879,0.0515593548328194,0.0551670345262482,0.0381040706293404,21,1,0.90238887217056,0.898781192477131,0.90238887217056,0.898781192477131
15,1,0,0.01,0.02,0.02,0,0.0096237505930023,0.00968305932220277,74.4954266623657,0.270569363477244,0.00701985852078992,0,FALSE,1,0,0,TRUE,-0.729430636522756,-0.270569363477244,-1,0.532069382434252,22,1,0.270569363477244,1,0.270569363477244,1
15,1,0,0.01,0.02,0.02,0.721307309874647,0.111274050375264,0.0310112644402264,97.3368358245476,0.554709814775821,0.0495492425022461,0,FALSE,0.533172373798547,0.0519458007945054,0,FALSE,0.0215374409772734,0.166597495098826,0.1881349360761,0.123737295143507,23,1,0.554709814775821,0.533172373798547,0.554709814775821,0.533172373798547
15,1,0,0.01,0.02,0.02,0.0376138544206915,0.0225086104593957,0.0216619748623639,73.6376227932009,0,0.0318975919155544,0,FALSE,0,0.0345857740555313,0,FALSE,0,0.0376138544206915,0.0376138544206915,0.259444543539483,24,1,0,0,0,0
15,1,0,0.01,0.02,0.02,0.98147959770051,0.135287847158342,0.00250558535560441,97.4895879013438,0.830202206915498,0.02297157787864,0,FALSE,0.805837613835608,0.0262678112233073,0,FALSE,0.0243645930798895,0.151277390785012,0.175641983864902,0.105696236720855,25,1,0.830202206915498,0.805837613835608,0.830202206915498,0.805837613835608
15,1,0,0.01,0.02,0.02,0.544317120715292,0.0320349657650443,0.0145977854376024,87.8681433244912,1,0,1,TRUE,1,0,1,TRUE,0,-0.455682879284708,-0.455682879284708,0.332985745402857,26,1,1,1,1,1
15,1,0,0.01,0.02,0.02,0.555867991374146,0.00128456145583222,0.000570514859582116,16.9281331256751,0,0.00240673550331088,0,FALSE,0,0.00454111113216143,0,FALSE,0,0.555867991374146,0.555867991374146,1.23153452223597,27,1,0,0,0,0
15,1,0,0.01,0.02,0.02,0.399159602471269,0.0273832658164974,0.0164529723188192,67.4852811393273,0,0.0283909264500135,0,FALSE,0.000424037947808764,0.0273716542726563,0,FALSE,-0.000424037947808764,0.399159602471269,0.39873556452346,0.280992024733837,28,1,0,0.000424037947808764,0,0.000424037947808764
15,1,0,0.01,0.02,0.02,0.938953979651288,0.251317452775291,0.0153419303361069,97.3641632115408,0.92557019029007,0.0187055101868492,0,FALSE,0.926516348720761,0.0184677240601261,0,FALSE,-0.000946158430690791,0.0133837893612176,0.0124376309305269,0.0397121644150065,29,1,0.92557019029007,0.926516348720761,0.92557019029007,0.926516348720761
15,1,0,0.01,0.02,0.02,0.636464863460025,0.0423076197678983,0.0153803063290043,90.0319800059846,0.477095149030031,0.0221228596096269,0,FALSE,0.454708855605282,0.0230699703998538,0,FALSE,0.0223862934247493,0.159369714429993,0.181756007854743,0.222196759265912,30,1,0.477095149030031,0.454708855605282,0.477095149030031,0.454708855605282
15,1,0,0.01,0.02,0.02,0.651337548021121,0.0743139872717109,0.025910497018482,88.7987585277696,0.71911872039234,0.0208734078376255,0,FALSE,0.784763907921778,0.0159950522071138,0,FALSE,-0.0656451875294377,-0.0677811723712198,-0.133426359900658,0.164722615977078,31,1,0.71911872039234,0.784763907921778,0.71911872039234,0.784763907921778
15,1,0,0.01,0.02,0.02,1,0.0142394042698304,0,72.5837287950565,1,0,0,TRUE,1,0,0,TRUE,0,0,0,0.563846704854668,32,1,1,1,1,1
15,1,0,0.01,0.02,0.02,0.992280472955246,0.00816258459241102,6.30112925162112e-05,65.1701815564469,0.303730165765427,0.0056833614210837,0,FALSE,0.418768608656578,0.00474435039960544,0,FALSE,-0.115038442891151,0.688550307189819,0.573511864298668,0.749873404696831,33,1,0.303730165765427,0.418768608656578,0.303730165765427,0.418768608656578
15,1,0,0.01,0.02,0.02,0.495336652585234,0.0370688297231457,0.0187072796928307,92.6107763290307,0.283435339531535,0.0265622133845293,0,FALSE,0.145665448720756,0.0316691820079704,0,FALSE,0.137769890810779,0.211901313053699,0.349671203864478,0.26977319717872,34,1,0.283435339531535,0.145665448720756,0.283435339531535,0.145665448720756
15,1,0,0.01,0.02,0.02,0.953943284292658,0.0848707570182965,0.00390886832785856,96.6451890776658,0.928863360104026,0.00603742047970927,0,FALSE,0.919244473313004,0.00685378268333661,0,FALSE,0.00961888679102219,0.0250799241886324,0.0346988109796545,0.128110089672775,35,1,0.928863360104026,0.919244473313004,0.928863360104026,0.919244473313004
15,1,0,0.01,0.02,0.02,0.629533757869794,0.0864678062889259,0.032033403261101,95.0483762853313,0.639081242663579,0.0312078531954055,0,FALSE,0.670052773670573,0.0285298128518213,0,FALSE,-0.0309715310069941,-0.00954748479378498,-0.0405190158007791,0.143589311443327,36,1,0.639081242663579,0.670052773670573,0.639081242663579,0.670052773670573
