"k","p","true_R2","tau2_null","vi_mean","n_reps","R2_app_mean","R2_app_sd","R2_cv_w_mean","R2_cv_w_sd","R2_cv_w_median","R2_cv_uw_mean","R2_cv_uw_sd","R2_cv_uw_median","Delta_CV_mean","Delta_CV_sd","bias_w_mean","bias_w_sd","bias_uw_mean","bias_uw_sd","abs_bias_w_mean","abs_bias_uw_mean","optimism_w_mean","optimism_uw_mean","weight_cv_mean","I2_mean"
15,1,0.5,0.00836772512982538,0.02,299,0.449996541559008,0.366562562457049,0.373450185825229,0.375686274631022,0.268573549996181,0.433692978333776,0.389035393854614,0.384826070709599,-0.0602427925085469,0.195394310822623,-0.126549814174771,0.375686274631022,-0.0663070216662243,0.389035393854614,0.362743631816354,0.358529730003312,0.0765463557337795,0.0163035632252326,0.354715268524128,80.1948268632098
30,1,0.5,0.00563424062019143,0.02,300,0.478594999286977,0.34805090829395,0.446983220826004,0.361894270758528,0.469412354345572,0.471115291025337,0.364346088038815,0.49657381024541,-0.0241320701993333,0.0907571496437661,-0.0530167791739962,0.361894270758528,-0.028884708974663,0.364346088038815,0.324244042352188,0.323729303693276,0.0316117784609728,0.00747970826163955,0.286281856819457,86.5940333965983
60,1,0.5,0.0313379262166063,0.02,300,0.442360064548385,0.32663428710467,0.415960229321874,0.332767848272818,0.374191200043203,0.434289573284571,0.350403843256943,0.401507518498433,-0.0183293439626965,0.120997175809978,-0.0840397706781257,0.332767848272818,-0.0657104267154292,0.350403843256943,0.303315940437616,0.316396941249733,0.0263998352265109,0.00807049126381443,0.29205959867165,86.6571701435029
30,2,0.5,0.0376139744406986,0.02,300,0.637841972030284,0.299808269712883,0.583334822146321,0.331652586466277,0.679558893560061,0.593122758993865,0.335161588961833,0.691037881072001,-0.00978793684754404,0.0598472961949596,0.083334822146321,0.331652586466277,0.0931227589938651,0.335161588961833,0.306052758934392,0.310375733553818,0.0545071498839627,0.0447192130364187,0.204140061509797,90.9389156756353
60,2,0.5,0.0389193881314299,0.02,300,0.65874365573578,0.291162194692867,0.634759771111594,0.306341205028493,0.729916853026574,0.64242752472654,0.302600655208024,0.732795534799135,-0.00766775361494567,0.053328846491252,0.134759771111594,0.306341205028493,0.14242752472654,0.302600655208024,0.300903430751023,0.299485237322225,0.0239838846241857,0.01631613100924,0.185711599959151,92.7541284745952
15,1,0.75,0.00154143453896259,0.02,296,0.536710842383185,0.38963634889524,0.447524892703974,0.403678992564159,0.396031641106182,0.481898345655952,0.405801208310617,0.495535589384072,-0.0343734529519776,0.184671206216204,-0.302475107296026,0.403678992564159,-0.268101654344048,0.405801208310617,0.426263035875641,0.407983857904564,0.089185949679211,0.0548124967272334,0.410594608519262,76.8787992334982
30,1,0.75,0.138098347192418,0.02,300,0.576606446990076,0.354715231309022,0.543281738155538,0.358694048897839,0.630682432140292,0.581718986949017,0.35916996116904,0.667191025091408,-0.0384372487934789,0.179368147337581,-0.206718261844462,0.358694048897839,-0.168281013050983,0.35916996116904,0.326923031783893,0.312054111507903,0.0333247088345379,-0.00511253995894103,0.364116169687333,81.6222949270288
60,1,0.75,0.0193366864432836,0.02,300,0.583919824258032,0.333674040608711,0.55939661198691,0.338651031724846,0.638294303731866,0.581869473504376,0.349346667720837,0.659606548110218,-0.0224728615174655,0.133953911006982,-0.19060338801309,0.338651031724846,-0.168130526495624,0.349346667720837,0.301150276656923,0.299560643121841,0.024523212271122,0.00205035075365652,0.341793643808814,83.8336204896827
30,2,0.75,0.045494762742959,0.02,299,0.725753632286907,0.295515112070866,0.673108793747668,0.329692200898729,0.796616847100258,0.689272424675209,0.325032321169252,0.806258989277809,-0.0161636309275407,0.110060278134178,-0.0768912062523321,0.329692200898729,-0.0607275753247914,0.325032321169252,0.25802512940637,0.254483724874914,0.0526448385392389,0.0364812076116982,0.237468826246832,89.1144874986245
60,2,0.75,0.0805906393169494,0.02,300,0.761240211526341,0.236320269803146,0.738419125077233,0.256556141049015,0.825891498826167,0.746563084796348,0.259399368572011,0.83086546446499,-0.00814395971911529,0.0837442959540229,-0.0115808749227675,0.256556141049015,-0.00343691520365213,0.259399368572011,0.205774113778702,0.204641513498335,0.0228210864491082,0.0146771267299929,0.210528313883142,91.3472998887822
15,1,0,0.0134232829203665,0.1,300,0.461602674968348,0.423519874417892,0.350443018898013,0.414223259663255,0.040874011372386,0.352964264500654,0.412096953897952,0.107402742146275,-0.0025212456026407,0.15753425826208,0.350443018898013,0.414223259663255,0.352964264500654,0.412096953897952,0.350443018898013,0.352964264500654,0.111159656070335,0.108638410467694,0.130244287271867,38.8580193484446
30,1,0,0.16510533173318,0.1,300,0.416254905709396,0.377531505921402,0.346548777555937,0.384826385265582,0.16262004914175,0.353430461862527,0.383523697047316,0.170405612364105,-0.00688168430659018,0.125286627075534,0.346548777555937,0.384826385265582,0.353430461862527,0.383523697047316,0.346548777555937,0.353430461862527,0.0697061281534595,0.0628244438468693,0.128062403965734,41.0917008860558
60,1,0,0.0267806692059123,0.1,300,0.423081222096998,0.363664953273562,0.364141798852093,0.367266612863131,0.246957899806419,0.364398142047301,0.366357881725228,0.245509475743077,-0.00025634319520799,0.0730215877738248,0.364141798852093,0.367266612863131,0.364398142047301,0.366357881725228,0.364141798852093,0.364398142047301,0.0589394232449047,0.0586830800496967,0.123640115309897,42.2156401430582
30,2,0,0.0254406684259012,0.1,300,0.551094415323511,0.344482749304131,0.437867923321282,0.35344909616377,0.445201685690408,0.44017868484251,0.351950103932509,0.439232587413024,-0.00231076152122816,0.0820317884009406,0.437867923321282,0.35344909616377,0.44017868484251,0.351950103932509,0.437867923321282,0.44017868484251,0.113226492002229,0.110915730481,0.105261748885704,50.5322880391922
60,2,0,0.0830213132018721,0.1,300,0.551166125924299,0.316990361365645,0.475251273684464,0.335041504752302,0.474656140376627,0.480202444196139,0.33288564873815,0.469356815514014,-0.0049511705116746,0.0537524923817156,0.475251273684464,0.335041504752302,0.480202444196139,0.33288564873815,0.475251273684464,0.480202444196139,0.0759148522398349,0.0709636817281603,0.108035458238846,49.9276626761628
15,1,0.25,0.701701282044051,0.1,300,0.47629203356371,0.427305444583191,0.367390854358103,0.422565819187249,0.0474773191773293,0.383040139763541,0.424660374481909,0.107947216615798,-0.0156492854054379,0.148892478220285,0.117390854358103,0.422565819187249,0.133040139763541,0.424660374481909,0.378402092132368,0.382151200588203,0.108901179205606,0.0932518938001685,0.142073930357396,33.8528841952677
30,1,0.25,0,0.1,300,0.445526980122039,0.388669830463678,0.361037620572505,0.377518470405719,0.26575317875344,0.362212784895399,0.376713528691926,0.249308465628301,-0.00117516432289327,0.122748354646254,0.111037620572505,0.377518470405719,0.112212784895399,0.376713528691926,0.332628664344153,0.328853071290809,0.0844893595495339,0.0833141952266406,0.126635735112241,39.8217129035501
60,1,0.25,0.0624849766281136,0.1,300,0.440361614098428,0.356498817723896,0.387107357523507,0.368102769885767,0.299938304256258,0.382625781243874,0.367546132784494,0.284916368732298,0.00448157627963281,0.112243211548628,0.137107357523507,0.368102769885767,0.132625781243874,0.367546132784494,0.323427710747508,0.321410723574485,0.0532542565749217,0.0577358328545545,0.129019441059839,39.9992289310626
30,2,0.25,0.215794651105571,0.1,300,0.601866512585801,0.327304274346755,0.470885254333573,0.355578426048998,0.482378637549231,0.475739116178651,0.358213076004644,0.473903588190694,-0.00485386184507868,0.0470776922153133,0.220885254333573,0.355578426048998,0.225739116178651,0.358213076004644,0.352651741426942,0.355676371287674,0.130981258252228,0.126127396407149,0.110448314778281,48.0822557611745
60,2,0.25,0.142248751899276,0.1,300,0.599998893772587,0.315919635724315,0.531351441903837,0.339190848615101,0.568162256400129,0.528334855011625,0.342982837308151,0.556965665772321,0.00301658689221217,0.0962990124843702,0.281351441903837,0.339190848615101,0.278334855011625,0.342982837308151,0.372836506584838,0.37495522788914,0.0686474518687493,0.0716640387609615,0.109534315110766,49.0087582567291
15,1,0.5,0.0125104570309149,0.1,300,0.556989118859581,0.421277525004179,0.425387125816388,0.436690325665088,0.300144570665542,0.435617249228177,0.440004034205261,0.354028654463648,-0.010230123411789,0.145322963648298,-0.0746128741836121,0.436690325665088,-0.0643827507718231,0.440004034205261,0.418000166370673,0.420597784456702,0.131601993043193,0.121371869631404,0.144806500202496,32.3166248748455
30,1,0.5,0,0.1,300,0.520925588209893,0.400833467856393,0.434173256793541,0.400834322789389,0.405426354512214,0.446506876211359,0.398144258235347,0.405852168068539,-0.0123336194178182,0.120087188539159,-0.0658267432064594,0.400834322789389,-0.0534931237886412,0.398144258235347,0.370346872017729,0.365738329185009,0.0867523314163519,0.0744187119985337,0.134824049350415,37.0318130445688
60,1,0.5,0,0.1,300,0.507083251491271,0.371462959845823,0.443447683030789,0.378029975533996,0.398258127914616,0.465806870875719,0.378313394104711,0.482776754991255,-0.0223591878449301,0.117642478416615,-0.0565523169692109,0.378029975533996,-0.0341931291242808,0.378313394104711,0.346012035209534,0.34191339504249,0.0636355684604822,0.0412763806155521,0.146071634549096,33.5628099272668
30,2,0.5,0.00875722809392018,0.1,300,0.636352981728834,0.355213319580477,0.485980487352203,0.387956474985421,0.513882214364322,0.49051619132724,0.386856470063686,0.55404417263813,-0.00453570397503666,0.144280947130309,-0.0140195126477966,0.387956474985421,-0.00948380867275997,0.386856470063686,0.349570930068497,0.349021869414222,0.15037249437663,0.145836790401594,0.125287111950425,41.7168726780637
60,2,0.5,0.193292629482681,0.1,300,0.664041836724004,0.302396059409672,0.58740542057794,0.325250601369264,0.643747554809466,0.589172972251424,0.327918590320878,0.647464814711395,-0.00176755167348432,0.0757158387123723,0.08740542057794,0.325250601369264,0.0891729722514243,0.327918590320878,0.293437109260276,0.296008892524822,0.0766364161460639,0.0748688644725796,0.118608584948618,45.2214003348134
15,1,0.75,0.064622597786635,0.1,300,0.617115537984264,0.410681859578404,0.467314136554256,0.436688252861764,0.451783306366017,0.482240543439806,0.438735026248401,0.476653220125068,-0.0149264068855499,0.137360235295704,-0.282685863445744,0.436688252861764,-0.267759456560194,0.438735026248401,0.445557882414351,0.440774050690125,0.149801401430008,0.134874994544458,0.144316485919922,31.3418596855185
30,1,0.75,0.0723662299550006,0.1,300,0.629235168330665,0.394675429338031,0.532063917809629,0.423834011139183,0.565549439730289,0.528413614582025,0.423711436147901,0.571442180843136,0.00365030322760379,0.118904592374312,-0.217936082190371,0.423834011139183,-0.221586385417975,0.423711436147901,0.404504378216584,0.407067504286447,0.097171250521036,0.10082155374864,0.150725644218296,28.9472600078394
60,1,0.75,0.0440631951046783,0.1,300,0.601146761267052,0.3860263151188,0.539196276650802,0.408185155076976,0.580843955951504,0.538001189494801,0.407727267445985,0.593951902274394,0.00119508715600028,0.152480619267347,-0.210803723349198,0.408185155076976,-0.211998810505199,0.407727267445985,0.385609369349072,0.385855915331671,0.0619504846162499,0.0631455717722502,0.159508236311341,27.5198512386093
30,2,0.75,0.121588370899637,0.1,300,0.731138636058688,0.317017093542936,0.59501196686108,0.37009596940962,0.660263233660288,0.592362159319256,0.37186805658735,0.653943472116662,0.00264980754182351,0.108116102433082,-0.15498803313892,0.37009596940962,-0.157637840680744,0.37186805658735,0.324356625324723,0.325813709460408,0.136126669197609,0.138776476739432,0.129373828829043,39.617753241936
60,2,0.75,0.0444121702242626,0.1,300,0.769395510376184,0.273710687862613,0.690933221573458,0.314842425829155,0.776629184386872,0.688228451217986,0.322287480489627,0.79023624275157,0.00270477035547175,0.0793525772744434,-0.059066778426542,0.314842425829155,-0.0617715487820137,0.322287480489627,0.252911480973612,0.259142377841489,0.0784622888027259,0.0811670591581977,0.123241419707852,42.773108876691
