"k","p","true_R2","tau2_null","vi_mean","n_reps","R2_app_mean","R2_app_sd","R2_cv_w_mean","R2_cv_w_sd","R2_cv_w_median","R2_cv_uw_mean","R2_cv_uw_sd","R2_cv_uw_median","Delta_CV_mean","Delta_CV_sd","bias_w_mean","bias_w_sd","bias_uw_mean","bias_uw_sd","abs_bias_w_mean","abs_bias_uw_mean","optimism_w_mean","optimism_uw_mean","weight_cv_mean","I2_mean"
15,1,0,0.0529450127336654,0.02,298,0.37724637292125,0.343354612174418,0.299313448825301,0.342565912370568,0.156877959569477,0.332212530742641,0.362115562718338,0.177888502177435,-0.0328990819173399,0.149769223867086,0.299313448825301,0.342565912370568,0.332212530742641,0.362115562718338,0.299313448825301,0.332212530742641,0.0779329240959486,0.0450338421786087,0.229446509990193,88.0104060493086
30,1,0,0.00587775344282564,0.02,300,0.347625433899259,0.31241870144692,0.311573202369039,0.327226275368914,0.210397545271729,0.339500606789372,0.348840040158102,0.231916621397465,-0.027927404420333,0.103664017220081,0.311573202369039,0.327226275368914,0.339500606789372,0.348840040158102,0.311573202369039,0.339500606789372,0.0360522315302205,0.00812482710988747,0.228004462635902,89.1961877681831
60,1,0,0.0307317030308932,0.02,300,0.368810698019675,0.310325022210884,0.355124190666041,0.312427328874176,0.326017588353717,0.378889809201469,0.323409844325242,0.341461728567316,-0.0237656185354286,0.104622999774191,0.355124190666041,0.312427328874176,0.378889809201469,0.323409844325242,0.355124190666041,0.378889809201469,0.013686507353634,-0.0100791111817946,0.217984538455594,90.9822496836011
30,2,0,0.120134329638985,0.02,300,0.535185274332267,0.295427485756059,0.46698098523981,0.319522573641263,0.475619447015963,0.47451781880878,0.319358388495331,0.46479747701993,-0.00753683356897027,0.0529195602942808,0.46698098523981,0.319522573641263,0.47451781880878,0.319358388495331,0.46698098523981,0.47451781880878,0.0682042890924578,0.0606674555234875,0.159688352286161,93.3871116600731
60,2,0,0.161278136379097,0.02,300,0.540856743863108,0.293748328409518,0.512198125258573,0.306483943936288,0.548682366915198,0.519974940198676,0.308936252102514,0.553711542963478,-0.00777681494010287,0.0485231775420591,0.512198125258573,0.306483943936288,0.519974940198676,0.308936252102514,0.512198125258573,0.519974940198676,0.0286586186045357,0.0208818036644329,0.148809474071041,94.4498331527519
15,1,0.25,0.0544496216103673,0.02,295,0.417264702520553,0.346107260074744,0.311103579941458,0.347641470904365,0.207408405637786,0.343219606387257,0.361681957995543,0.25034151263579,-0.0321160264457989,0.140406850641882,0.0611035799414583,0.347641470904365,0.0932196063872571,0.361681957995543,0.294762945958819,0.310101353635157,0.106161122579095,0.0740450961332959,0.295008795517429,83.4368911869656
30,1,0.25,0.0119546666750835,0.02,300,0.398238291497745,0.334290644672517,0.370923858044763,0.334645730552478,0.351817516435326,0.390632924814808,0.346587408076833,0.385064440571796,-0.0197090667700451,0.114114085036312,0.120923858044763,0.334645730552478,0.140632924814808,0.346587408076833,0.303280227639814,0.313896949103895,0.0273144334529818,0.00760536668293678,0.261150897032509,87.1679904518656
60,1,0.25,0.0705305832792271,0.02,300,0.39330417173965,0.30926044319772,0.365201231329517,0.320684652960664,0.324649978747634,0.380265909882306,0.333110405064434,0.338409056404532,-0.015064678552789,0.0908317519174257,0.115201231329517,0.320684652960664,0.130265909882306,0.333110405064434,0.282728388017438,0.294895711333788,0.0281029404101326,0.0130382618573437,0.247086650919914,89.2447972677326
30,2,0.25,0.231073185775028,0.02,300,0.576268130730876,0.298026741482662,0.515838698037915,0.320936205563582,0.56654030408259,0.526356655596205,0.324036836537957,0.574101250791842,-0.0105179575582904,0.0679332881246479,0.265838698037915,0.320936205563582,0.276356655596205,0.324036836537957,0.359109121587952,0.367979372859792,0.0604294326929612,0.0499114751346708,0.174242536495825,92.8082273967796
60,2,0.25,0.0884109364219367,0.02,300,0.5749975158507,0.293157962252471,0.541949768944965,0.31061115395052,0.571174531384597,0.548331958141926,0.316386401766262,0.586453930917242,-0.00638218919696057,0.0524371962441417,0.291949768944965,0.31061115395052,0.298331958141926,0.316386401766262,0.363453173666428,0.373810408120646,0.0330477469057343,0.0266655577087737,0.17188655071433,93.3954691221011
