"k","p","true_R2","tau2_null","vi_pattern","anchor_study","n_reps","weight_cv_mean","weight_cv_sd","vi_range_mean","R2_cv_w_mean","R2_cv_uw_mean","Delta_CV_mean","Delta_CV_sd","abs_bias_w_mean","abs_bias_uw_mean","weighted_advantage","I2_mean"
15,1,0,0.0562861518086791,"homogeneous",FALSE,50,0.184436433857959,0.0844223020117532,2.80294323294376,0.426733517312039,0.419989053821572,0.00674446349046724,0.151729487975298,0.426733517312039,0.419989053821572,-0.00674446349046724,36.3453466294897
30,1,0,0.0165092234106608,"homogeneous",FALSE,50,0.178450397384901,0.084906351986693,3.52155006040419,0.585261688495114,0.578727942800879,0.00653374569423511,0.0491385793244554,0.585261688495114,0.578727942800879,-0.00653374569423511,40.6006265408625
60,1,0,0.0417465057214965,"homogeneous",FALSE,50,0.159599517386363,0.0743299006444988,4.17259175302987,0.61713710577944,0.611193112749314,0.00594399303012564,0.159789598589278,0.61713710577944,0.611193112749314,-0.00594399303012564,46.9522029205056
30,2,0,0.101096646524455,"homogeneous",FALSE,50,0.129054305384855,0.0737484993953494,3.45027963870986,0.617209538880923,0.615684602950013,0.00152493593091025,0.0409579576646695,0.617209538880923,0.615684602950013,-0.00152493593091025,57.2016275306565
60,2,0,0.188398712619288,"homogeneous",FALSE,50,0.121659948656087,0.0517193976264719,4.09126029727939,0.739502464654729,0.742677018446044,-0.0031745537913145,0.0315318117888901,0.739502464654729,0.742677018446044,0.0031745537913145,59.6979004254873
15,1,0.25,0.164549265555253,"homogeneous",FALSE,50,0.183178969077961,0.103202177093565,2.85723371641022,0.569925816642682,0.598423206842041,-0.0284973901993591,0.146244174468398,0.453526525911755,0.468987440109995,0.0154609141982403,38.9169314369776
30,1,0.25,0.0154657169289187,"homogeneous",FALSE,50,0.170519283523774,0.0778889751425135,3.66279137860368,0.64146367190437,0.656953621239112,-0.0154899493347417,0.0944272592440898,0.489370884937558,0.488997695382835,-0.00037318955472317,43.5371229357303
60,1,0.25,0.00444345687566335,"homogeneous",FALSE,50,0.173972055561874,0.0863114900379598,4.23503670209474,0.614969818305907,0.656459040867816,-0.0414892225619088,0.228050677125499,0.462142381674913,0.503795968907974,0.0416535872330604,44.1368648395385
30,2,0.25,0.0337814695127,"homogeneous",FALSE,50,0.133227565819102,0.0778443121315535,3.56255040951964,0.683063496470978,0.666166844786958,0.0168966516840198,0.150341191045399,0.502557130111155,0.492490141003919,-0.0100669891072366,56.1424326450866
60,2,0.25,0.0546550697141365,"homogeneous",FALSE,50,0.142398472983175,0.0617460727759633,3.93419970987397,0.715621995770319,0.710399966960119,0.00522202881020027,0.0493482077186638,0.513928266271173,0.51855333724964,0.00462507097846718,52.2473833836721
15,1,0.5,0.0230419269036352,"homogeneous",FALSE,50,0.179035404706565,0.0884708333424603,2.81625637241284,0.618344171510791,0.597381153100497,0.020963018410294,0.153299795180002,0.392619834372137,0.392134440115014,-0.000485394257122793,39.2770859261403
30,1,0.5,0.0576808932217569,"homogeneous",FALSE,50,0.168846565659644,0.0849335017056392,3.39793147241159,0.622166520732981,0.616987540427295,0.0051789803056856,0.059590098857117,0.412670327149968,0.410560653419721,-0.00210967373024769,42.8899422381167
60,1,0.5,0.021700941509972,"homogeneous",FALSE,50,0.175935118469847,0.0712469321607122,4.06121029875177,0.709852518957872,0.69925703702348,0.0105954819343928,0.173534772143337,0.372260627280801,0.379041659197032,0.00678103191623102,40.5971794865655
30,2,0.5,0.103743739047889,"homogeneous",FALSE,50,0.167822853826579,0.0843589474765203,3.50558052159051,0.601982455574423,0.597873335257795,0.00410912031662841,0.0699712236526749,0.360865074543046,0.376698581197722,0.0158335066546761,46.4997280100653
60,2,0.5,0.01906375748895,"homogeneous",FALSE,50,0.130775214074716,0.0738739306201265,3.97573889700071,0.808274730245791,0.788369816657355,0.0199049135884356,0.144669791198064,0.368373434549071,0.377329911747994,0.00895647719892248,55.8921183902724
15,1,0.75,0.081349578308967,"homogeneous",FALSE,50,0.199827101731449,0.108763895113035,2.95930852016125,0.701202118807931,0.639889643611148,0.0613124751967833,0.244150888316028,0.322366582181745,0.359826342108144,0.0374597599263986,34.5487453126481
30,1,0.75,0.0760354125738632,"homogeneous",FALSE,50,0.193321719706018,0.0992317109293479,3.59692143705331,0.664251855027309,0.680493961429568,-0.0162421064022591,0.0926490065315438,0.31987902083255,0.315429176264722,-0.00444984456782767,37.099464076215
60,1,0.75,0.0133620805407041,"homogeneous",FALSE,50,0.183240304747668,0.0711943703163649,4.34228877437928,0.679300362508455,0.693538702815802,-0.0142383403073474,0.151183826725438,0.308930558645231,0.293924963886701,-0.0150055947585305,39.932992462631
30,2,0.75,0.0580015324265117,"homogeneous",FALSE,50,0.128568426055894,0.0641063334226561,3.44142526211833,0.78617942151238,0.80323356677508,-0.0170541452626991,0.129752822932206,0.238666694072489,0.227331853072322,-0.0113348410001671,57.2605935973322
60,2,0.75,0.38970190849458,"homogeneous",FALSE,50,0.14326367909786,0.0741892933589071,4.33269044196838,0.785059940954028,0.778014551724855,0.00704538922917317,0.0876352105003354,0.183845277589941,0.202258134177817,0.0184128565878758,53.8641371880383
15,1,0,0.0317803253923565,"homogeneous",FALSE,50,0.118325056926004,0.0684449808082605,2.79584642692756,0.2088254506031,0.211177048839447,-0.00235159823634722,0.0352954748646715,0.2088254506031,0.211177048839447,0.00235159823634722,59.2694598644488
30,1,0,0.0499189365786004,"homogeneous",FALSE,50,0.101316426296865,0.0385648300450406,3.64514115449094,0.321149366185693,0.327654186113134,-0.0065048199274411,0.0185847507182841,0.321149366185693,0.327654186113134,0.0065048199274411,67.4312408638165
60,1,0,0.0620310525286707,"homogeneous",FALSE,50,0.104032076088594,0.0355293003030547,4.02888923770923,0.298970291164984,0.306131913585502,-0.00716162242051748,0.0184311196516066,0.298970291164984,0.306131913585502,0.00716162242051748,66.3458104308349
30,2,0,0.0752108788099927,"homogeneous",FALSE,50,0.0760252671746954,0.0364032371949576,3.62220200017123,0.508318302352866,0.507885197068901,0.000433105283965618,0.028281645006218,0.508318302352866,0.507885197068901,-0.000433105283965618,74.891128779206
60,2,0,0.11199968126911,"homogeneous",FALSE,50,0.0833042705468057,0.0370987556146033,4.1169757149664,0.471917331876329,0.472318782597799,-0.00040145072147018,0.0164285785849013,0.471917331876329,0.472318782597799,0.00040145072147018,73.1635725650976
15,1,0.25,0.110022056612541,"homogeneous",FALSE,50,0.11411651193093,0.059470963141932,2.91522655769924,0.262327954050735,0.268613376865913,-0.0062854228151778,0.0351880832076845,0.268838272837075,0.264026084893352,-0.00481218794372318,60.1987921308967
30,1,0.25,0.0393105971128119,"homogeneous",FALSE,50,0.122641547104506,0.0485326327490364,3.42921164126617,0.241861834924032,0.241260293969012,0.000601540955019868,0.0284864213849214,0.236235186822036,0.241379565928839,0.00514437910680265,58.4663403817044
60,1,0.25,0.0449136350303374,"homogeneous",FALSE,50,0.112941280683458,0.0361355936049296,4.141951517477,0.419364760801824,0.427883839013122,-0.00851907821129803,0.0357354601627604,0.274843396196752,0.268479389894132,-0.00636400630261986,62.8630081979801
30,2,0.25,0.0790479202973093,"homogeneous",FALSE,50,0.0887155093198681,0.0420324436198767,3.48542699461711,0.483568693060381,0.490946287292853,-0.00737759423247232,0.0266860093471127,0.327622935942769,0.334218686726741,0.00659575078397243,71.2948098415957
60,2,0.25,0.138397516865709,"homogeneous",FALSE,50,0.0913588509345678,0.047723782555139,4.31900847014201,0.507659763624071,0.507950209931136,-0.000290446307065526,0.0367623185487375,0.336888003890596,0.340847866436619,0.00395986254602364,70.6854244640638
15,1,0.5,0.0269247844499726,"homogeneous",FALSE,50,0.148239647959845,0.0789897878242961,3.00134049965934,0.313367822281558,0.316861546200123,-0.00349372391856508,0.0361826607505111,0.404771434168214,0.409224405621265,0.00445297145305046,51.5535190369962
30,1,0.5,0.000332889894933148,"homogeneous",FALSE,50,0.140431354814287,0.0580711809191244,3.55731541805887,0.368129557367986,0.388309561479549,-0.0201800041115628,0.0621217885085283,0.323070994257618,0.321730624501388,-0.00134036975622998,53.6091997836061
60,1,0.5,0.0399274936915043,"homogeneous",FALSE,50,0.124743061714246,0.0487060555636685,4.05732802282577,0.411412987106404,0.417676652398795,-0.00626366529239038,0.0382525863755305,0.285360424188893,0.281126247667564,-0.00423417652132982,58.8223265813768
30,2,0.5,0.121304161592924,"homogeneous",FALSE,50,0.112360313190536,0.0520930220440214,3.48046605844073,0.555355104413006,0.578505552503491,-0.023150448090485,0.0639684650299388,0.25528781773487,0.248324517017179,-0.00696330071769133,62.4338303325489
60,2,0.5,0.263035962868553,"homogeneous",FALSE,50,0.108606596269038,0.0544565472159316,3.93003448838755,0.605702487063743,0.610056555070518,-0.00435406800677527,0.0321621339806363,0.280761557356636,0.287494910694415,0.00673335333777906,64.1899693593762
15,1,0.75,0.0447923026190762,"homogeneous",FALSE,50,0.150012525161738,0.0817188820088242,2.92297768490879,0.450702989076061,0.467918184683623,-0.0172151956075616,0.144459342681991,0.444466993739546,0.44134013333687,-0.0031268604026759,47.2369602404281
30,1,0.75,0.00287973795929186,"homogeneous",FALSE,50,0.168545799487107,0.0733420410130359,3.5719809715735,0.437577751027937,0.460126689729751,-0.022548938701814,0.093417981622139,0.400029510145291,0.399866275183289,-0.000163234962001861,44.4670134473792
60,1,0.75,0.00950984151604293,"homogeneous",FALSE,50,0.158534060024451,0.075857625079135,4.10648879385274,0.518872177206048,0.546219215029601,-0.0273470378235528,0.149219325473878,0.369677412131921,0.363735259476349,-0.0059421526555714,47.9010146402256
30,2,0.75,0.369173685470987,"homogeneous",FALSE,50,0.118837287965039,0.062479131896714,3.45866357983666,0.647863392952726,0.652860462797408,-0.00499706984468237,0.0324995499749928,0.245446783838537,0.241667482804753,-0.00377930103378424,59.5925236115641
60,2,0.75,0.0362223072377661,"homogeneous",FALSE,50,0.124690174463802,0.0651774263596037,4.20455378069866,0.665961659392119,0.680212409027774,-0.0142507496356548,0.0863148048252591,0.228962146893566,0.217338018944582,-0.0116241279489848,59.5329737206246
15,1,0,0.154729241877044,"homogeneous",FALSE,50,0.06224880039736,0.025951571946249,2.95338201188894,0.128741626260562,0.128307099547468,0.000434526713094669,0.0128450694241021,0.128741626260562,0.128307099547468,-0.000434526713094669,80.0531725295628
30,1,0,0.585501742382372,"homogeneous",FALSE,50,0.0617127197196838,0.0245572839717804,3.7169338759306,0.16836455312749,0.169464103527572,-0.00109955040008203,0.0123425640370891,0.16836455312749,0.169464103527572,0.00109955040008203,80.7769688135836
60,1,0,0.3190835401589,"homogeneous",FALSE,50,0.0537697326617626,0.0179761669112363,4.14411936993639,0.173025459835223,0.174361873496051,-0.0013364136608271,0.00703426857278542,0.173025459835223,0.174361873496051,0.0013364136608271,82.9699946762781
30,2,0,0.266839819371555,"homogeneous",FALSE,50,0.0470822356238902,0.0168577271237741,3.25489071615245,0.213964717769932,0.216015130640833,-0.00205041287090063,0.00844770039595349,0.213964717769932,0.216015130640833,0.00205041287090063,84.3207014499152
60,2,0,0.204635582639351,"homogeneous",FALSE,50,0.0505532349921457,0.0145406264065822,4.02032137015479,0.234763695324084,0.235546915795932,-0.000783220471847728,0.00904664356126105,0.234763695324084,0.235546915795932,0.000783220471847728,83.7154277613146
15,1,0.25,0.0272878218887806,"homogeneous",FALSE,50,0.0826555776586535,0.0345431405025939,2.98347969416688,0.142053851026679,0.146764371952853,-0.00471052092617467,0.0199402412064319,0.246214770964249,0.247775801504084,0.00156103053983538,72.3491441705779
30,1,0.25,0.121637784409369,"homogeneous",FALSE,50,0.0697865320640601,0.0329358143192118,3.23916555383355,0.135988675345025,0.137306619376323,-0.00131794403129786,0.0149410158185549,0.219057224236509,0.218745006312391,-0.000312217924118414,76.828312077846
60,1,0.25,0.153019870698028,"homogeneous",FALSE,50,0.0689766258781462,0.0204833320357772,4.15378491494203,0.157068680130299,0.159207713776276,-0.00213903364597708,0.0146644528030492,0.179647200582329,0.177661462340235,-0.00198573824209431,78.2322026988462
30,2,0.25,0.174505809640027,"homogeneous",FALSE,50,0.0607299564143095,0.0298896837960035,3.51247369062889,0.235514118550478,0.235825172782605,-0.000311054232126393,0.0115244474944636,0.198584988622841,0.201437302260142,0.00285231363730123,80.3108916457991
60,2,0.25,0.100067317400323,"homogeneous",FALSE,50,0.0588105791030956,0.0238433575977968,4.08274903580224,0.278009581193919,0.281045033958909,-0.00303545276499042,0.0110769539085637,0.207976512030067,0.207955442352082,-2.10696779858077e-05,81.2568907779778
15,1,0.5,0.111081956024919,"homogeneous",FALSE,50,0.0949756968539325,0.0454578378044309,2.95027345523441,0.13040424169233,0.136922481840788,-0.00651824014845792,0.0168850868360865,0.406020928041841,0.403901623076872,-0.00211930496496873,66.7675002379162
30,1,0.5,0.069155194417666,"homogeneous",FALSE,50,0.0875311315085814,0.0388874508268501,3.43560546290826,0.253660432939792,0.256242788657854,-0.00258235571806192,0.016448083992269,0.314388254144194,0.314040478961062,-0.000347775183131629,71.525301895949
